"Chr" "genus"
"1" "k137_196679" "Polarella"
"2" "k137_2549950" "Polarella"
"3" "k137_6275870" "Polarella"
"4" "k137_7256625" "Polarella"
"5" "k137_6080068" "Polarella"
"6" "k137_981504" "Polarella"
"7" "k137_3923314" "Polarella"
"8" "k137_5884381" "Polarella"
"9" "k137_7257025" "Polarella"
"10" "k137_3923535" "Polarella"
"11" "k137_5884875" "Polarella"
"12" "k137_3924282" "Polarella"
"13" "k137_5885413" "Polarella"
"14" "k137_787180" "Polarella"
"15" "k137_3140736" "Polarella"
"16" "k137_4906034" "Polarella"
"17" "k137_2749037" "Polarella"
"18" "k137_7651683" "Polarella"
"19" "k137_7651831" "Polarella"
"20" "k137_4514325" "Polarella"
"21" "k137_2553605" "Polarella"
"22" "k137_6867875" "Polarella"
"23" "k137_984939" "Polarella"
"24" "k137_6475891" "Polarella"
"25" "k137_6672207" "Polarella"
"26" "k137_5103614" "Polarella"
"27" "k137_7260578" "Polarella"
"28" "k137_789435" "Polarella"
"29" "k137_7456889" "Polarella"
"30" "k137_5691996" "Polarella"
"31" "k137_3927121" "Polarella"
"32" "k137_5104007" "Polarella"
"33" "k137_4319495" "Polarella"
"34" "k137_3927319" "Polarella"
"35" "k137_7065263" "Polarella"
"36" "k137_3535832" "Polarella"
"37" "k137_7457835" "Polarella"
"38" "k137_5104733" "Polarella"
"39" "k137_5692775" "Polarella"
"40" "k137_5301030" "Polarella"
"41" "k137_2555833" "Polarella"
"42" "k137_5105238" "Polarella"
"43" "k137_2555906" "Polarella"
"44" "k137_5889692" "Polarella"
"45" "k137_5693593" "Polarella"
"46" "k137_4321505" "Polarella"
"47" "k137_987819" "Polarella"
"48" "k137_1772517" "Polarella"
"49" "k137_4910068" "Polarella"
"50" "k137_6674964" "Polarella"
"51" "k137_2165177" "Polarella"
"52" "k137_1773585" "Polarella"
"53" "k137_6675911" "Polarella"
"54" "k137_7460728" "Polarella"
"55" "k137_4519566" "Polarella"
"56" "k137_5695975" "Polarella"
"57" "k137_5500076" "Polarella"
"58" "k137_7657786" "Polarella"
"59" "k137_3539862" "Polarella"
"60" "k137_4324492" "Polarella"
"61" "k137_3148066" "Polarella"
"62" "k137_10826" "Polarella"
"63" "k137_6089834" "Polarella"
"64" "k137_207028" "Polarella"
"65" "k137_6090271" "Polarella"
"66" "k137_1580385" "Polarella"
"67" "k137_403582" "Polarella"
"68" "k137_5698376" "Polarella"
"69" "k137_2952898" "Polarella"
"70" "k137_3933162" "Polarella"
"71" "k137_796211" "Polarella"
"72" "k137_4914728" "Polarella"
"73" "k137_3933622" "Polarella"
"74" "k137_4326572" "Polarella"
"75" "k137_3542372" "Polarella"
"76" "k137_600931" "Polarella"
"77" "k137_4327246" "Polarella"
"78" "k137_6484113" "Polarella"
"79" "k137_993614" "Polarella"
"80" "k137_3934928" "Polarella"
"81" "k137_1189874" "Polarella"
"82" "k137_5504507" "Polarella"
"83" "k137_1778788" "Polarella"
"84" "k137_1386346" "Polarella"
"85" "k137_1190304" "Polarella"
"86" "k137_3935837" "Polarella"
"87" "k137_14437" "Polarella"
"88" "k137_3936054" "Polarella"
"89" "k137_6878240" "Polarella"
"90" "k137_3152775" "Polarella"
"91" "k137_4133554" "Polarella"
"92" "k137_407439" "Polarella"
"93" "k137_1977004" "Polarella"
"94" "k137_604126" "Polarella"
"95" "k137_4526548" "Polarella"
"96" "k137_6879563" "Polarella"
"97" "k137_604693" "Polarella"
"98" "k137_1585650" "Polarella"
"99" "k137_5115921" "Polarella"
"100" "k137_7076530" "Polarella"
"101" "k137_4331426" "Polarella"
"102" "k137_6880944" "Polarella"
"103" "k137_213618" "Polarella"
"104" "k137_3352100" "Polarella"
"105" "k137_5900982" "Polarella"
"106" "k137_5117052" "Polarella"
"107" "k137_3548133" "Polarella"
"108" "k137_1586964" "Polarella"
"109" "k137_4136596" "Polarella"
"110" "k137_6293476" "Polarella"
"111" "k137_3352806" "Polarella"
"112" "k137_6097785" "Polarella"
"113" "k137_18741" "Polarella"
"114" "k137_803404" "Polarella"
"115" "k137_3156792" "Polarella"
"116" "k137_6882653" "Polarella"
"117" "k137_6294165" "Polarella"
"118" "k137_5510472" "Polarella"
"119" "k137_1392287" "Polarella"
"120" "k137_3940878" "Polarella"
"121" "k137_6294755" "Polarella"
"122" "k137_4726445" "Polarella"
"123" "k137_1196533" "Polarella"
"124" "k137_1196584" "Polarella"
"125" "k137_4334623" "Polarella"
"126" "k137_6884076" "Polarella"
"127" "k137_6295818" "Polarella"
"128" "k137_2374211" "Polarella"
"129" "k137_7669378" "Polarella"
"130" "k137_3355946" "Polarella"
"131" "k137_22539" "Polarella"
"132" "k137_22638" "Polarella"
"133" "k137_2375782" "Polarella"
"134" "k137_7082338" "Polarella"
