				depth		Salinity	Temp 							
537.061	10.00004	-112.99994	254.598	253	26.6017	34.7229	10.7971	0.3306	3.41E-01	1.00E-12	1.238	0.7767	0.1093	0.00E+00
557.288	10.00002	-112.99996	253.595	252	26.6006	34.7226	10.802	0.3308	3.39E-01	1.00E-12	1.1	0.7732	0.0224	0.00E+00
562.965	10.00002	-112.99996	252.586	251	26.5999	34.7228	10.8069	0.3307	3.42E-01	1.00E-12	1.036	0.7779	0.0025	0.00E+00
565.374	10.00002	-112.99996	251.568	250	26.5981	34.723	10.8174	0.3303	3.42E-01	1.00E-12	0.833	0.7838	0.0011	0.00E+00
566.592	10.00002	-112.99996	250.559	249	26.5991	34.7229	10.8114	0.3305	3.39E-01	1.00E-12	1.036	0.788	0.0012	0.00E+00
567.378	10.00002	-112.99996	249.554	248	26.5974	34.7235	10.8239	0.3301	3.45E-01	1.00E-12	1.058	0.7886	0.0012	0.00E+00
568.093	10.00002	-112.99996	248.56	247	26.5945	34.7246	10.8446	0.3307	3.41E-01	1.00E-12	0.982	0.7909	0.0011	0.00E+00
568.899	10.00002	-112.99996	247.552	246	26.5924	34.7249	10.8574	0.3307	3.38E-01	1.00E-12	0.977	0.7933	0.001	0.00E+00
569.976	10.00002	-112.99996	246.546	245	26.5924	34.7241	10.8536	0.3308	3.38E-01	1.00E-12	1.139	0.7947	0.0011	0.00E+00
571.377	10.00002	-112.99996	245.529	244	26.5938	34.7249	10.8495	0.3308	3.43E-01	1.00E-12	1.029	0.7969	0.0011	0.00E+00
572.535	10.00002	-112.99996	244.523	243	26.5942	34.7241	10.8435	0.33	3.39E-01	1.00E-12	1.048	0.7976	0.0012	0.00E+00
573.482	10.00002	-112.99996	243.518	242	26.5952	34.7255	10.8441	0.3304	3.39E-01	1.00E-12	1.143	0.7992	0.0011	0.00E+00
574.44	10.00002	-112.99996	242.516	241	26.5885	34.7266	10.8861	0.331	3.42E-01	1.00E-12	1.537	0.8014	0.0012	0.00E+00
575.596	10.00002	-112.99996	241.506	240	26.5857	34.7276	10.9058	0.3326	3.41E-01	1.00E-12	1.567	0.805	0.0012	0.00E+00
576.766	10.00002	-112.99996	240.492	239	26.5841	34.7272	10.9134	0.3317	3.41E-01	1.00E-12	1.704	0.8075	0.0011	0.00E+00
577.68	10.00002	-112.99996	239.488	238	26.5857	34.7283	10.9086	0.3308	3.42E-01	1.00E-12	1.606	0.8109	0.0012	0.00E+00
578.48	10.00002	-112.99996	238.484	237	26.5814	34.7299	10.9391	0.3309	3.44E-01	1.00E-12	2.046	0.8131	0.0012	0.00E+00
579.287	10.00002	-112.99996	237.482	236	26.5778	34.7312	10.965	0.331	3.39E-01	1.00E-12	2.457	0.8166	0.0012	0.00E+00
580.197	10.00002	-112.99996	236.478	235	26.5768	34.732	10.9736	0.3318	3.40E-01	1.00E-12	2.592	0.8213	0.0011	0.00E+00
581.27	10.00002	-112.99996	235.466	234	26.5755	34.7323	10.9819	0.3314	3.41E-01	1.00E-12	2.469	0.8258	0.0012	0.00E+00
582.434	10.00002	-112.99996	234.455	233	26.5797	34.7327	10.9604	0.3328	3.39E-01	1.00E-12	2.161	0.8325	0.0012	0.00E+00
583.481	10.00002	-112.99996	233.45	232	26.5816	34.7321	10.9471	0.3323	3.49E-01	1.00E-12	2.21	0.8381	0.0012	0.00E+00
584.415	10.00002	-112.99996	232.442	231	26.5745	34.7348	10.9985	0.3318	3.41E-01	1.00E-12	2.483	0.8422	0.0012	0.00E+00
585.308	10.00002	-112.99996	231.439	230	26.5655	34.735	11.0488	0.332	3.40E-01	1.00E-12	2.929	0.8468	0.0011	0.00E+00
586.26	10.00002	-112.99996	230.434	229	26.5635	34.7357	11.0626	0.3319	3.38E-01	1.00E-12	2.971	0.8511	0.0012	0.00E+00
587.381	10.00002	-112.99996	229.424	228	26.5614	34.7372	11.081	0.3316	3.39E-01	1.00E-12	2.948	0.8549	0.0011	0.00E+00
588.547	10.00002	-112.99996	228.412	227	26.5616	34.7371	11.0791	0.331	3.38E-01	1.00E-12	2.905	0.8571	0.0141	0.00E+00
589.517	10.00002	-112.99996	227.406	226	26.563	34.7378	11.0739	0.3315	3.32E-01	1.00E-12	2.72	0.8455	0.1062	0.00E+00
590.361	10.00002	-112.99996	226.404	225	26.5595	34.7382	11.0951	0.3317	3.38E-01	1.00E-12	2.841	0.8089	0.1044	0.00E+00
591.203	10.00002	-112.99996	225.399	224	26.5563	34.7387	11.1147	0.3314	3.39E-01	1.00E-12	2.749	0.7836	0.1046	0.00E+00
592.136	10.00002	-112.99996	224.395	223	26.5548	34.7383	11.1211	0.3317	3.37E-01	1.00E-12	2.481	0.7721	0.1046	0.00E+00
593.275	10.00002	-112.99996	223.385	222	26.5562	34.7381	11.1125	0.3317	3.40E-01	1.00E-12	2.573	0.7695	0.1046	0.00E+00
594.48	10.00002	-112.99996	222.375	221	26.5586	34.7393	11.104	0.3314	3.40E-01	1.00E-12	2.624	0.7645	0.1046	0.00E+00
595.523	10.00002	-112.99996	221.365	220	26.5596	34.7401	11.1019	0.3321	3.37E-01	1.00E-12	2.56	0.7647	0.1046	0.00E+00
596.403	10.00002	-112.99996	220.36	219	26.5511	34.7408	11.1517	0.335	3.37E-01	1.00E-12	2.579	0.7639	0.1045	0.00E+00
597.23	10.00002	-112.99996	219.356	218	26.545	34.7413	11.1867	0.331	3.46E-01	1.00E-12	2.535	0.7645	0.1047	0.00E+00
598.056	10.00002	-112.99996	218.351	217	26.5415	34.7418	11.2085	0.3307	3.40E-01	1.00E-12	2.589	0.7644	0.1046	0.00E+00
598.925	10.00002	-112.99996	217.345	216	26.5413	34.7426	11.213	0.3308	3.33E-01	1.00E-12	2.432	0.7643	0.1045	0.00E+00
599.892	10.00002	-112.99996	216.342	215	26.5409	34.7409	11.2076	0.3308	3.34E-01	1.00E-12	2.3	0.7633	0.1045	0.00E+00
601.402	10.00002	-112.99996	215.33	214	26.5458	34.7417	11.1838	0.3308	3.38E-01	1.00E-12	2.394	0.7629	0.1045	0.00E+00
603.133	10.00002	-112.99996	214.31	213	26.5509	34.7422	11.1581	0.3308	3.36E-01	1.00E-12	2.587	0.7617	0.1044	0.00E+00
604.021	10.00002	-112.99996	213.309	212	26.5445	34.745	11.2051	0.3307	3.40E-01	1.00E-12	2.962	0.7624	0.1043	0.00E+00
604.74	10.00002	-112.99996	212.307	211	26.5352	34.7451	11.2559	0.3309	3.35E-01	1.00E-12	3.095	0.7621	0.1044	0.00E+00
605.447	10.00002	-112.99996	211.302	210	26.527	34.7481	11.3138	0.3308	3.33E-01	1.00E-12	3.425	0.7626	0.1045	0.00E+00
606.205	10.00002	-112.99996	210.303	209	26.522	34.7484	11.3419	0.3314	3.33E-01	1.00E-12	3.645	0.7636	0.1045	0.00E+00
607.072	10.00002	-112.99996	209.291	208	26.5221	34.7486	11.3421	0.3319	3.37E-01	1.00E-12	3.519	0.7639	0.1044	0.00E+00
608.032	10.00002	-112.99996	208.281	207	26.5271	34.7505	11.3229	0.3311	3.38E-01	1.00E-12	3.511	0.7639	0.1046	0.00E+00
608.983	10.00002	-112.99996	207.273	206	26.5286	34.7475	11.3022	0.3313	3.33E-01	1.00E-12	3.243	0.764	0.1044	0.00E+00
609.902	10.00002	-112.99996	206.27	205	26.5272	34.748	11.3113	0.3318	3.37E-01	1.00E-12	3.215	0.7645	0.1046	0.00E+00
610.842	10.00002	-112.99996	205.264	204	26.5176	34.7519	11.38	0.3317	3.38E-01	1.00E-12	3.598	0.764	0.1046	0.00E+00
611.876	10.00002	-112.99996	204.258	203	26.5117	34.7539	11.4204	0.3316	3.35E-01	1.00E-12	3.541	0.7643	0.1044	0.00E+00
613.142	10.00004	-112.99996	203.255	202	26.5145	34.7515	11.3948	0.3318	3.39E-01	1.00E-12	3.337	0.7639	0.1045	0.00E+00
614.788	10.00004	-112.99996	202.236	201	26.5261	34.7515	11.3318	0.3316	3.37E-01	1.00E-12	3.262	0.7635	0.1045	0.00E+00
616.013	10.00004	-112.99996	201.226	200	26.5209	34.7558	11.3782	0.331	3.30E-01	1.00E-12	3.092	0.7637	0.1044	0.00E+00
616.843	10.00004	-112.99996	200.224	199	26.5012	34.7544	11.4787	0.3315	3.38E-01	1.00E-12	2.992	0.7661	0.1043	0.00E+00
617.6	10.00004	-112.99996	199.227	198	26.4953	34.7545	11.5106	0.3311	3.38E-01	1.00E-12	2.814	0.7649	0.1043	0.00E+00
618.422	10.00004	-112.99996	198.218	197	26.4958	34.7551	11.5104	0.3311	3.37E-01	1.00E-12	2.911	0.7649	0.0995	0.00E+00
619.348	10.00003	-112.99996	197.211	196	26.4955	34.756	11.5154	0.3313	3.35E-01	1.00E-12	2.97	0.7685	0.0039	0.00E+00
620.346	10.00002	-112.99996	196.199	195	26.4959	34.7563	11.5147	0.3315	3.30E-01	1.00E-12	2.714	0.7663	0.0011	0.00E+00
621.278	10.00002	-112.99996	195.192	194	26.4986	34.7574	11.5048	0.331	3.39E-01	1.00E-12	2.815	0.7743	0.0012	0.00E+00
622.115	10.00003	-112.99996	194.187	193	26.4952	34.7581	11.5258	0.3309	3.38E-01	1.00E-12	3.161	0.7838	0.0012	0.00E+00
