	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
438.653	17.68328	-102.35006	161.025	160	26.3191	34.8235	12.7057	0.3936	3.20E-01	2.87E-02	-0.242	0.2177	0.0864	0.00E+00
519.229	17.6833	-102.35006	160.018	159	26.3196	34.8234	12.7027	0.3944	3.22E-01	2.74E-02	-0.381	0.2024	0.0002	0.00E+00
520.159	17.6833	-102.35006	159.011	158	26.3191	34.8233	12.7049	0.3941	3.19E-01	2.75E-02	-0.384	0.2034	0.0037	0.00E+00
521.12	17.6833	-102.35006	158.005	157	26.3188	34.8233	12.7061	0.3935	3.27E-01	2.74E-02	-0.383	0.2038	0.0038	0.00E+00
522.018	17.6833	-102.35006	156.998	156	26.3186	34.8235	12.7077	0.3927	3.24E-01	2.75E-02	-0.383	0.2038	0.0037	0.00E+00
523.174	17.6833	-102.35006	155.991	155	26.3177	34.8236	12.7124	0.3938	3.22E-01	2.77E-02	-0.383	0.2036	0.0037	0.00E+00
525.402	17.6833	-102.35006	154.984	154	26.3172	34.8238	12.7153	0.3932	3.22E-01	2.79E-02	-0.386	0.2013	0.0037	0.00E+00
527.438	17.68331	-102.35006	153.978	153	26.315	34.8235	12.725	0.3931	3.22E-01	2.80E-02	-0.396	0.2017	0.0037	0.00E+00
529.674	17.6833	-102.35006	152.971	152	26.3123	34.8234	12.7384	0.3948	3.20E-01	2.82E-02	-0.389	0.1985	0.0495	0.00E+00
531.3	17.6833	-102.35006	151.964	151	26.3175	34.8242	12.7151	0.395	4.25E-01	2.82E-02	-0.43	0.2045	0.0984	0.00E+00
532.343	17.6833	-102.35006	150.957	150	26.3126	34.8244	12.7408	0.3939	3.27E-01	2.82E-02	-0.346	0.2028	0.0968	0.00E+00
533.266	17.6833	-102.35006	149.951	149	26.3092	34.8241	12.7567	0.394	3.18E-01	2.83E-02	-0.427	0.2033	0.0969	0.00E+00
